"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 23 02:36:38 MSK 2023","Mon Jan 23 02:36:44 MSK 2023","6379","","ru.yandex.practicum.registration.ChromeRegistrationTest","","ru.yandex.practicum.registration.ChromeRegistrationTest","checkErrorByWrongPassword","checkErrorByWrongPassword",""
"passed","Mon Jan 23 02:37:24 MSK 2023","Mon Jan 23 02:37:29 MSK 2023","5759","","ru.yandex.practicum.input.ChromeInputTest","","ru.yandex.practicum.input.ChromeInputTest","checkInputByRecoverPassword","checkInputByRecoverPassword",""
"passed","Mon Jan 23 02:38:10 MSK 2023","Mon Jan 23 02:38:15 MSK 2023","5158","","ru.yandex.practicum.input.YandexInputTest","","ru.yandex.practicum.input.YandexInputTest","checkInputByRegistration","checkInputByRegistration",""
"passed","Mon Jan 23 02:39:27 MSK 2023","Mon Jan 23 02:39:33 MSK 2023","6686","","ru.yandex.practicum.fromPersonalCabinetInConstructor.YandexFromPersonalCabinetInConstructorTest","","ru.yandex.practicum.fromPersonalCabinetInConstructor.YandexFromPersonalCabinetInConstructorTest","checkClickOnLogo","checkClickOnLogo",""
"passed","Mon Jan 23 02:38:43 MSK 2023","Mon Jan 23 02:38:51 MSK 2023","7324","","ru.yandex.practicum.logOutOfAccount.ChromeLogOutOfAccountTest","","ru.yandex.practicum.logOutOfAccount.ChromeLogOutOfAccountTest","checkExitButton","checkExitButton",""
"passed","Mon Jan 23 02:38:56 MSK 2023","Mon Jan 23 02:39:01 MSK 2023","5365","","ru.yandex.practicum.sectionConstructor.ChromeSectionConstructorTest","","ru.yandex.practicum.sectionConstructor.ChromeSectionConstructorTest","checkSuccessfulOpenSectionBun","checkSuccessfulOpenSectionBun",""
"passed","Mon Jan 23 02:36:26 MSK 2023","Mon Jan 23 02:36:33 MSK 2023","6821","","ru.yandex.practicum.registration.ChromeRegistrationTest","","ru.yandex.practicum.registration.ChromeRegistrationTest","checkSuccessfulRegistration","checkSuccessfulRegistration",""
"passed","Mon Jan 23 02:39:38 MSK 2023","Mon Jan 23 02:39:45 MSK 2023","6926","","ru.yandex.practicum.fromPersonalCabinetInConstructor.ChromeFromPersonalCabinetInConstructorTest","","ru.yandex.practicum.fromPersonalCabinetInConstructor.ChromeFromPersonalCabinetInConstructorTest","checkClickOnConstructor","checkClickOnConstructor",""
"passed","Mon Jan 23 02:39:06 MSK 2023","Mon Jan 23 02:39:11 MSK 2023","5080","","ru.yandex.practicum.sectionConstructor.YandexSectionConstructorTest","","ru.yandex.practicum.sectionConstructor.YandexSectionConstructorTest","checkSuccessfulOpenSectionBun","checkSuccessfulOpenSectionBun",""
"passed","Mon Jan 23 02:39:16 MSK 2023","Mon Jan 23 02:39:22 MSK 2023","5543","","ru.yandex.practicum.fromPersonalCabinetInConstructor.YandexFromPersonalCabinetInConstructorTest","","ru.yandex.practicum.fromPersonalCabinetInConstructor.YandexFromPersonalCabinetInConstructorTest","checkClickOnConstructor","checkClickOnConstructor",""
